timestamp,duid,power_MW
2025-10-31 00:00:00,BUTLERSG,7.0
2025-10-31 00:05:00,BUTLERSG,7.0
2025-10-31 00:10:00,BUTLERSG,7.0
2025-10-31 00:15:00,BUTLERSG,7.0
2025-10-31 00:20:00,BUTLERSG,7.0
2025-10-31 00:25:00,BUTLERSG,7.0
2025-10-31 00:30:00,BUTLERSG,7.0
2025-10-31 00:35:00,BUTLERSG,7.0
2025-10-31 00:40:00,BUTLERSG,7.0
2025-10-31 00:45:00,BUTLERSG,7.0
2025-10-31 00:50:00,BUTLERSG,7.0
2025-10-31 00:55:00,BUTLERSG,7.0
2025-10-31 01:00:00,BUTLERSG,7.0
2025-10-31 01:05:00,BUTLERSG,7.0
2025-10-31 01:10:00,BUTLERSG,7.0
2025-10-31 01:15:00,BUTLERSG,7.0
2025-10-31 01:20:00,BUTLERSG,7.0
2025-10-31 01:25:00,BUTLERSG,7.0
2025-10-31 01:30:00,BUTLERSG,7.0
2025-10-31 01:35:00,BUTLERSG,7.0
2025-10-31 01:40:00,BUTLERSG,7.0
2025-10-31 01:45:00,BUTLERSG,7.0
2025-10-31 01:50:00,BUTLERSG,7.0
2025-10-31 01:55:00,BUTLERSG,6.9
2025-10-31 02:00:00,BUTLERSG,7.0
2025-10-31 02:05:00,BUTLERSG,7.0
2025-10-31 02:10:00,BUTLERSG,6.9
2025-10-31 02:15:00,BUTLERSG,7.0
2025-10-31 02:20:00,BUTLERSG,7.0
2025-10-31 02:25:00,BUTLERSG,7.0
2025-10-31 02:30:00,BUTLERSG,7.0
2025-10-31 02:35:00,BUTLERSG,7.0
2025-10-31 02:40:00,BUTLERSG,7.0
2025-10-31 02:45:00,BUTLERSG,7.0
2025-10-31 02:50:00,BUTLERSG,7.0
2025-10-31 02:55:00,BUTLERSG,7.0
2025-10-31 03:00:00,BUTLERSG,7.0
2025-10-31 03:05:00,BUTLERSG,7.0
2025-10-31 03:10:00,BUTLERSG,7.0
2025-10-31 03:15:00,BUTLERSG,7.0
2025-10-31 03:20:00,BUTLERSG,7.0
2025-10-31 03:25:00,BUTLERSG,7.0
2025-10-31 03:30:00,BUTLERSG,7.0
