timestamp,duid,power_hat_MW
2025-11-01 00:00:00,BUTLERSG,6.9990523002354035
2025-11-01 00:05:00,BUTLERSG,6.998389241743729
2025-11-01 00:10:00,BUTLERSG,6.9979251007995575
2025-11-01 00:15:00,BUTLERSG,6.997600202138637
2025-11-01 00:20:00,BUTLERSG,6.997372773075993
2025-11-01 00:25:00,BUTLERSG,6.997213572732141
2025-11-01 00:30:00,BUTLERSG,6.997102132491445
2025-11-01 00:35:00,BUTLERSG,6.997024124322959
2025-11-01 00:40:00,BUTLERSG,6.9969695186050185
2025-11-01 00:45:00,BUTLERSG,6.99693129460246
2025-11-01 00:50:00,BUTLERSG,6.996904537800669
2025-11-01 00:55:00,BUTLERSG,6.996885808039416
2025-11-01 01:00:00,BUTLERSG,6.996872697206538
2025-11-01 01:05:00,BUTLERSG,6.996863519623524
2025-11-01 01:10:00,BUTLERSG,6.9968570953154146
2025-11-01 01:15:00,BUTLERSG,6.996852598299737
2025-11-01 01:20:00,BUTLERSG,6.996849450388764
2025-11-01 01:25:00,BUTLERSG,6.996847246851081
2025-11-01 01:30:00,BUTLERSG,6.996845704374703
2025-11-01 01:35:00,BUTLERSG,6.9968446246412395
2025-11-01 01:40:00,BUTLERSG,6.996843868827815
2025-11-01 01:45:00,BUTLERSG,6.996843339758417
2025-11-01 01:50:00,BUTLERSG,6.996842969409839
2025-11-01 01:55:00,BUTLERSG,6.996842710165835
2025-11-01 02:00:00,BUTLERSG,6.996842528695032
2025-11-01 02:05:00,BUTLERSG,6.99684240166547
2025-11-01 02:10:00,BUTLERSG,6.996842312744775
2025-11-01 02:15:00,BUTLERSG,6.99684225050029
2025-11-01 02:20:00,BUTLERSG,6.99684220692915
2025-11-01 02:25:00,BUTLERSG,6.996842176429352
2025-11-01 02:30:00,BUTLERSG,6.996842155079493
2025-11-01 02:35:00,BUTLERSG,6.996842140134593
2025-11-01 02:40:00,BUTLERSG,6.996842129673162
2025-11-01 02:45:00,BUTLERSG,6.996842122350161
2025-11-01 02:50:00,BUTLERSG,6.996842117224059
2025-11-01 02:55:00,BUTLERSG,6.996842113635788
2025-11-01 03:00:00,BUTLERSG,6.996842111123998
2025-11-01 03:05:00,BUTLERSG,6.996842109365746
2025-11-01 03:10:00,BUTLERSG,6.9968421081349685
2025-11-01 03:15:00,BUTLERSG,6.996842107273425
2025-11-01 03:20:00,BUTLERSG,6.996842106670345
2025-11-01 03:25:00,BUTLERSG,6.996842106248188
2025-11-01 03:30:00,BUTLERSG,6.996842105952679
2025-11-01 03:35:00,BUTLERSG,6.996842105745822
2025-11-01 03:40:00,BUTLERSG,6.996842105601022
2025-11-01 03:45:00,BUTLERSG,6.996842105499663
2025-11-01 03:50:00,BUTLERSG,6.996842105428712
2025-11-01 03:55:00,BUTLERSG,6.996842105379045
2025-11-01 04:00:00,BUTLERSG,6.996842105344278
2025-11-01 04:05:00,BUTLERSG,6.996842105319942
2025-11-01 04:10:00,BUTLERSG,6.996842105302907
2025-11-01 04:15:00,BUTLERSG,6.996842105290982
2025-11-01 04:20:00,BUTLERSG,6.996842105282635
2025-11-01 04:25:00,BUTLERSG,6.996842105276791
2025-11-01 04:30:00,BUTLERSG,6.9968421052727
2025-11-01 04:35:00,BUTLERSG,6.996842105269836
2025-11-01 04:40:00,BUTLERSG,6.996842105267833
2025-11-01 04:45:00,BUTLERSG,6.996842105266429
2025-11-01 04:50:00,BUTLERSG,6.996842105265447
2025-11-01 04:55:00,BUTLERSG,6.99684210526476
2025-11-01 05:00:00,BUTLERSG,6.996842105264278
2025-11-01 05:05:00,BUTLERSG,6.9968421052639425
2025-11-01 05:10:00,BUTLERSG,6.996842105263706
2025-11-01 05:15:00,BUTLERSG,6.996842105263541
2025-11-01 05:20:00,BUTLERSG,6.9968421052634255
2025-11-01 05:25:00,BUTLERSG,6.996842105263346
2025-11-01 05:30:00,BUTLERSG,6.996842105263289
